SOR,DTA,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
563,06/09/2010,1,,1,1,1,1,1,,1,,1,1,,,,1,,,1,1,,1,1,1,
564,09/09/2010,1,1,1,1,,,1,,1,,,1,,1,1,,1,,1,1,1,,1,1,
565,13/09/2010,1,,,1,,1,1,,1,1,,1,,,1,,1,1,1,1,1,,1,1,
566,16/09/2010,1,,1,1,1,,1,,1,1,1,,,1,1,1,1,,1,1,1,,,,
567,20/09/2010,1,1,,,1,,1,1,1,1,,1,1,1,1,,1,,,,1,,,1,1
568,23/09/2010,1,1,,1,1,1,1,1,1,,,,1,,1,1,1,1,,1,1,,,,
569,27/09/2010,1,1,,,,1,1,1,,,,1,1,,,1,1,1,1,1,,1,,1,1
570,30/09/2010,1,1,1,1,1,,,,,1,,1,,1,1,,,1,1,1,1,1,1,,
571,04/10/2010,,,1,1,1,1,1,,,,1,1,,,1,1,,1,1,1,1,,,1,1
572,07/10/2010,,1,,,1,1,,1,1,1,,,1,1,1,1,1,,1,,1,1,,1,
573,11/10/2010,1,1,1,,,,1,,,1,1,1,,1,,1,,1,,1,,1,1,1,1
574,14/10/2010,1,,,,1,1,,,,,1,1,1,1,,1,,1,1,1,1,1,1,,1
575,18/10/2010,,,1,,1,,,1,1,1,,1,1,,1,1,1,1,1,,1,1,,1,
576,21/10/2010,,,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,,1
577,25/10/2010,1,1,1,1,1,,,1,,1,,1,,,1,1,,1,1,,1,1,1,,
578,28/10/2010,1,,,1,,1,1,1,,1,,1,1,1,1,1,,,1,,1,1,1,,
579,01/11/2010,1,,1,,1,1,1,1,,1,,1,1,1,,,1,,1,1,1,,,1,
580,04/11/2010,1,,,1,,1,1,1,1,1,,1,1,1,,1,1,,,,1,,,1,1
581,08/11/2010,,1,,1,,1,,,1,,1,1,1,1,1,,1,1,1,,1,,1,,1
582,11/11/2010,,,1,,,,1,1,1,1,1,1,1,,1,,1,1,1,,1,,1,,1
583,16/11/2010,1,,1,1,,,1,1,1,,1,,,1,,1,1,1,1,,1,,1,1,
584,18/11/2010,,1,1,,1,1,1,1,,1,1,,,1,1,,,,1,1,1,1,1,,
585,22/11/2010,1,,,,1,,1,1,1,1,,,1,1,1,1,1,1,,1,,,1,1,
586,25/11/2010,,1,1,1,,1,1,1,,,1,1,,,,1,1,1,1,,,1,,1,1
587,29/11/2010,1,,,1,1,,1,,1,1,1,1,1,,,,1,1,1,1,1,,1,,
588,02/12/2010,1,,,1,1,,1,,,,1,1,1,1,,,1,1,1,1,,,1,1,1
589,06/12/2010,,1,1,1,,1,,1,1,1,,1,1,,,,,,,1,1,1,1,1,1
590,09/12/2010,1,,1,1,,1,,,1,1,1,,1,1,1,1,,1,1,1,1,,,,
591,13/12/2010,1,1,,1,,,1,1,,1,1,,,1,1,1,1,,1,1,1,,1,,
592,16/12/2010,1,,1,,1,1,,1,1,1,,,,1,1,1,1,1,1,1,,1,,,
593,20/12/2010,1,,1,1,1,1,,,1,1,1,,1,1,1,,,,,1,,,1,1,1
594,23/12/2010,,1,1,,,1,1,,1,1,1,,1,1,1,1,,1,,1,,,1,,1
595,27/12/2010,1,,,,1,1,1,1,1,1,1,1,,,1,,1,,1,,1,,,1,1
596,30/12/2010,,1,1,,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,1
597,03/01/2011,1,1,1,,1,,,1,1,1,1,,,1,,1,1,1,,,,1,,1,1
598,06/01/2011,1,,1,1,1,,1,,,,1,1,,1,1,,,1,1,1,1,1,,,1
599,10/01/2011,,1,,1,1,1,1,,1,,,1,1,,,1,,1,,1,1,1,1,1,
600,13/01/2011,1,,1,,1,1,,1,1,1,1,,,,,1,1,1,1,,,1,1,,1
601,17/01/2011,1,,1,,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,,,,1
602,20/01/2011,1,1,,,1,1,1,1,1,1,1,1,1,,,,,1,,,,1,1,,1
603,24/01/2011,,1,,1,1,1,,1,,1,,1,1,,1,1,,,1,1,1,1,1,,
604,27/01/2011,1,1,,,,1,1,,1,,,1,1,1,1,,,1,1,1,,1,,1,1
605,31/01/2011,,1,1,1,1,,1,,,1,1,,1,1,,1,1,1,,,1,,1,,1
606,03/02/2011,,1,1,,,1,1,1,,1,,1,,1,1,1,,1,,,,1,1,1,1
607,07/02/2011,,,1,,1,,1,,1,,,1,,,1,1,1,1,1,1,1,1,,1,1
608,10/02/2011,1,1,1,,1,,1,1,,1,,,1,1,,1,1,1,1,,,,1,,1
609,14/02/2011,1,1,,1,,,1,,1,1,1,1,,1,1,1,,,1,1,,,1,,1
610,17/02/2011,1,1,,1,,1,1,1,,1,,1,1,1,1,1,,,,,1,1,,,1
611,21/02/2011,,1,1,1,1,1,,1,1,,,,1,1,,1,,1,1,1,1,,1,,
612,24/02/2011,1,1,1,,,1,1,,1,1,,,1,,1,1,1,1,1,,,,1,,1
613,28/02/2011,,1,,,1,1,1,,,1,1,1,1,1,,1,1,,,1,,1,1,,1
614,03/03/2011,1,,,,1,1,1,,1,,1,1,1,,,1,1,1,1,1,,1,1,,
615,05/03/2011,1,1,,1,,,1,1,,,1,1,,,,,1,,1,1,1,1,1,1,1
616,10/03/2011,1,1,,,,1,,,1,1,,1,,,1,1,1,1,1,,1,1,,1,1
617,14/03/2011,1,1,1,1,1,,1,,,1,,,,1,1,1,,,1,,1,1,,1,1
618,17/03/2011,1,1,,1,1,1,1,,1,,,1,1,,,,1,,1,1,1,1,,1,
619,21/03/2011,1,,1,1,,,1,1,1,,,,1,1,,,1,1,1,1,1,,1,,1
620,24/03/2011,1,,,,1,1,1,,,1,1,1,,1,1,1,,1,1,1,1,1,,,
621,28/03/2011,1,1,1,,1,1,,1,1,1,,1,,,1,1,,,,1,,1,,1,1
622,31/03/2011,,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,,,1,,,,
623,04/04/2011,1,1,1,1,1,,,1,1,1,1,1,,,1,,,,,1,,1,1,,1
624,07/04/2011,1,1,,1,1,1,1,,1,,1,1,,,,1,1,1,,1,1,,,1,
625,11/04/2011,1,1,1,,,1,,1,,1,1,,1,1,1,1,1,,,,,1,1,1,
626,14/04/2011,1,1,1,1,1,,1,1,1,,1,,1,,,,1,,1,,1,,1,1,
627,18/04/2011,1,1,1,1,,1,,,,1,,1,,1,1,,1,,,,1,1,1,1,1
628,20/04/2011,,1,1,1,,,1,1,1,1,1,,1,,1,,,1,1,,,1,1,,1
629,25/04/2011,1,1,,1,1,1,1,,1,,,1,,1,1,,1,,1,,1,1,,,1
630,28/04/2011,1,1,,1,,1,1,,,,,1,1,1,,,1,1,,1,,1,1,1,1
631,02/05/2011,,1,1,,1,,1,1,1,1,,,1,1,,1,1,1,1,1,1,,,,
632,05/05/2011,1,,,1,,1,,1,,1,1,,1,1,,1,1,,,1,1,1,,1,1
633,09/05/2011,,1,1,,,1,1,1,1,1,,1,,,,,,1,,1,1,1,1,1,1
634,12/05/2011,,1,1,1,1,,,,1,1,1,1,,1,1,,,1,1,1,1,1,,,
635,16/05/2011,1,,,1,1,1,1,1,1,,1,1,1,,,,,1,1,1,,1,,1,
636,19/05/2011,1,1,1,1,,1,,,,1,,1,1,1,,1,,,1,1,1,,1,,1
637,23/05/2011,,1,,1,,1,1,,1,,,,1,,,1,1,1,1,1,1,1,1,,1
638,26/05/2011,1,1,1,1,,,,,1,,1,,1,1,,1,,1,1,,1,,1,1,1
639,30/05/2011,1,1,,1,1,1,,1,1,1,,1,,,,1,,,1,1,1,1,,1,
640,02/06/2011,1,,1,1,1,,,,1,,1,,1,1,,1,,1,1,1,1,1,1,,
641,06/06/2011,,1,1,,,1,1,1,1,,1,,1,,,1,,1,1,1,1,1,,1,
642,09/06/2011,1,1,,1,1,,,1,,1,1,1,1,,,,,1,1,1,1,1,,,1
643,13/06/2011,1,1,,1,,,1,1,1,1,,,1,,,1,1,,1,,1,1,1,1,
644,16/06/2011,,1,1,,1,1,1,1,1,,,1,1,1,1,,,1,,,1,1,,1,
645,20/06/2011,,,,1,1,,,1,1,1,1,,1,,,1,,1,1,1,1,1,1,,1
646,24/06/2011,1,,1,,1,1,,,1,1,,,,1,1,,1,1,1,1,1,,1,,1
647,27/06/2011,,,,1,,1,1,1,1,,1,,1,1,,,1,1,1,1,,1,1,,1
648,30/06/2011,,1,,1,,1,,1,1,1,1,,1,,1,1,,1,1,1,1,1,,,
649,04/07/2011,1,1,,1,1,1,,1,1,1,1,,,1,1,,1,,,,1,1,,1,
650,07/07/2011,1,,1,,,,1,1,,1,,,1,1,,1,1,,1,1,1,,1,1,1
651,11/07/2011,1,,,1,1,1,,1,,1,,,1,1,1,,1,1,1,1,,,,1,1
652,14/07/2011,,1,,,1,,1,,1,1,1,,1,1,,1,1,1,1,1,1,,1,,
653,18/07/2011,1,1,1,,,,1,1,,,,1,1,1,,1,1,,1,1,1,1,1,,
654,21/07/2011,1,1,1,,,,1,,,,,1,1,1,,1,1,1,1,1,,1,1,,1
655,25/07/2011,,1,,,1,,1,1,,1,1,,1,1,1,,,,1,1,1,,1,1,1
656,28/07/2011,,1,1,,1,,1,1,1,,1,,1,1,1,,,1,,1,,1,1,,1
657,01/08/2011,,1,1,1,1,1,,1,,1,,1,1,,1,,1,,1,,,,1,1,1
658,04/08/2011,1,,,1,1,1,1,,1,1,1,,,1,1,,1,,,,1,,1,1,1
659,08/08/2011,1,,1,1,1,1,,1,1,1,1,1,,,1,,,,1,1,,,1,1,
660,11/08/2011,,,1,1,1,1,1,1,1,,,1,,1,1,1,1,,1,,,,,1,1
661,15/08/2011,1,,1,,,1,1,,,1,1,1,,,1,,1,1,1,1,,1,1,1,
662,18/08/2011,1,1,1,,,1,1,1,1,,1,,1,1,1,1,,,1,1,,1,,,
663,22/08/2011,,1,,1,1,1,1,,1,,1,,1,,,1,1,,1,,1,1,1,1,
664,25/08/2011,1,,1,1,,,1,,,1,,,1,1,1,1,1,1,,1,1,,1,1,
665,29/08/2011,,1,1,,,1,1,,,,,1,1,1,1,,1,1,,1,1,1,,1,1
666,01/09/2011,1,1,,1,,1,1,,,,1,1,,1,1,1,,1,,1,1,,,1,1
667,05/09/2011,,,1,1,1,1,,1,,1,,,1,,1,,1,1,1,1,1,,,1,1
668,08/09/2011,1,1,,,,,1,,1,1,1,1,1,,1,1,1,,,1,,,1,1,1
669,13/09/2011,,1,,1,1,1,,,,,,1,1,,1,1,1,1,1,,,1,1,1,1
670,15/09/2011,1,,,,,,1,1,,1,,1,1,1,1,,1,1,,1,1,1,1,,1
671,19/09/2011,,,,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,,1,,1,
672,22/09/2011,1,1,,1,,1,,,1,1,1,1,,,1,,1,,1,,1,,1,1,1
673,26/09/2011,,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,
674,29/09/2011,,1,1,,,,,1,,1,1,,,1,1,1,,1,1,1,,1,1,1,1
675,03/10/2011,,1,1,1,1,,1,,,1,1,,1,1,1,1,1,,,,,1,1,1,
676,06/10/2011,,1,,1,1,1,,1,,1,,1,1,,1,1,,,1,1,1,,,1,1
677,10/10/2011,1,1,,,1,1,1,1,,1,1,1,1,,1,1,,,1,,,,1,,1
678,13/10/2011,,1,1,,1,,1,,1,1,,1,,,1,,,1,1,1,1,,1,1,1
679,17/10/2011,,1,,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,,
680,20/10/2011,,,1,1,,1,1,1,1,,,1,1,1,,1,,1,1,1,1,1,,,
681,24/10/2011,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,,1,,
682,27/10/2011,1,1,,1,1,1,1,1,,,1,,,1,,,1,1,1,,,1,,1,1
683,31/10/2011,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,1,1,
684,03/11/2011,1,,,1,1,,,1,,1,1,1,1,1,,1,,,,1,1,1,,1,1
685,07/11/2011,1,,1,1,,,,,1,,,1,1,,1,,1,,1,1,1,1,1,1,1
686,10/11/2011,1,,1,1,,1,1,,,1,,1,1,,,1,,,1,1,,1,1,1,1
687,14/11/2011,1,1,1,1,,1,,,1,,,1,1,,1,,,1,1,1,,,1,1,1
688,17/11/2011,1,1,1,1,,,1,,1,,1,1,,1,,1,,,1,,1,1,1,1,
689,21/11/2011,,1,1,1,1,1,1,1,,,1,1,1,,1,,1,,,,,1,1,1,
690,24/11/2011,1,1,1,,,,,,1,1,1,1,1,1,1,,,1,1,1,,,,1,1
691,28/11/2011,1,1,1,,,1,1,1,1,,1,,1,,,,1,1,1,1,,1,1,,
692,01/12/2011,1,1,,1,,1,1,,,1,1,1,,,,,1,1,1,,1,1,1,1,
693,05/12/2011,1,1,1,1,,1,1,,1,1,1,,,1,,1,1,,1,,1,1,,,
694,08/12/2011,1,,1,,,1,,1,1,1,1,,,1,1,1,,1,1,1,1,,,1,
695,12/12/2011,,1,1,1,1,,,,,,1,,1,1,,,1,1,1,1,1,1,,1,1
696,15/12/2011,1,,,1,1,,1,,1,1,1,,1,1,1,1,,,,1,1,1,,1,
697,19/12/2011,1,1,1,,,,1,1,,,1,,,1,1,1,,1,1,,,1,1,1,1
698,22/12/2011,,1,1,1,,1,1,,1,1,,1,,1,1,,,1,,1,1,1,,1,
699,26/12/2011,,1,1,1,,1,,1,1,1,,,,,1,1,,1,1,,1,1,1,,1
700,29/12/2011,1,1,,,,1,1,1,1,1,,,1,1,,1,,1,1,,1,1,,,1
701,02/01/2012,,,1,1,,,,1,,1,,1,1,1,,1,1,,1,1,1,1,1,,1
702,05/01/2012,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,1,,,1,,1
703,09/01/2012,,1,,,1,,,1,,1,1,,,1,1,,1,1,,1,1,1,1,1,1
704,12/01/2012,,1,1,,1,1,,1,,1,1,,1,1,1,1,1,,,,,1,1,1,
705,16/01/2012,,,1,1,,1,1,1,1,,1,1,,1,1,1,,,,1,1,1,,,1
706,19/01/2012,1,1,1,1,,1,,1,,,,1,1,,,1,,1,1,,1,1,,1,1
707,23/01/2012,,,1,1,,1,1,1,,,1,1,,1,1,1,1,,,1,1,,,1,1
708,26/01/2012,1,1,1,1,1,1,,,1,,1,,,1,,1,,,1,,1,1,,1,1
709,30/01/2012,1,,1,,,1,1,1,,,1,1,,1,1,1,,1,1,1,,1,1,,
710,02/02/2012,,1,1,1,,1,,,,,,1,,1,1,,1,1,1,1,1,1,,1,1
711,06/02/2012,1,1,,1,1,1,1,,,1,,1,1,,1,1,,1,,,1,1,,1,
712,08/02/2012,1,,,1,,,,1,1,,,1,,1,1,1,1,1,,1,1,1,1,,1
713,10/02/2012,,1,1,1,1,1,,,,,1,,1,1,1,,,,1,,1,1,1,1,1
714,13/02/2012,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,,,
715,15/02/2012,1,,1,,1,,,1,,1,1,,1,1,1,,,1,,1,,1,1,1,1
716,17/02/2012,1,,1,,1,,1,1,,,1,1,,1,1,1,,1,,1,1,,1,,1
717,22/02/2012,1,1,1,,1,,1,1,1,,1,,,1,,1,,1,,1,1,,1,,1
718,24/02/2012,,,1,1,,,1,,1,,1,,1,1,1,,1,,1,,1,1,1,1,1
719,27/02/2012,,1,,,,,1,1,1,1,1,,1,,1,1,,1,1,,,1,1,1,1
720,01/03/2012,,,,1,,,1,,1,1,1,1,1,,,1,1,1,,1,1,,1,1,1
721,02/03/2012,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,,1,,1,,,,
722,05/03/2012,1,,1,,1,1,1,1,,1,,,1,1,,1,1,,1,1,,,1,1,
723,07/03/2012,,1,1,1,1,,1,1,1,1,1,1,,1,1,,,1,,1,,,,1,
724,09/03/2012,1,,1,,1,1,1,,,1,,1,,1,1,,,1,1,1,,,1,1,1
725,12/03/2012,1,,,,1,1,1,,1,1,,1,1,,1,1,1,1,,,1,,,1,1
726,14/03/2012,1,1,,1,,,1,,1,1,1,,1,1,1,1,,,,1,1,,,1,1
727,16/03/2012,,,1,1,,1,1,1,1,,1,,,,,1,,1,,1,1,1,1,1,1
728,19/03/2012,,,1,1,,1,1,1,,1,1,,1,,,1,,,1,1,1,1,1,,1
729,21/03/2012,1,1,1,1,,1,1,,1,1,,1,,1,1,,1,,,,,1,1,,1
730,23/03/2012,1,,1,1,,,,1,,,1,1,,1,,1,,1,1,1,1,1,,1,1
731,26/03/2012,,,1,1,,1,1,1,,,1,1,,1,1,,1,1,1,,1,1,,1,
732,28/03/2012,1,,,1,,,,1,1,1,1,,1,1,,,1,,,1,1,1,1,1,1
733,30/03/2012,1,,,1,1,1,1,1,,,1,1,,1,,1,,1,1,1,,1,,1,
734,02/04/2012,,1,1,,,1,,1,1,1,,,1,,1,,1,1,1,1,1,,1,1,
735,04/04/2012,,,,,1,1,,1,,1,1,1,1,1,,,1,,1,1,1,1,,1,1
736,07/04/2012,,1,1,1,1,1,,1,1,1,,,1,,1,1,1,,1,,1,,1,,
737,09/04/2012,,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,,,,1,,,1
738,11/04/2012,,1,,,,1,1,,1,,1,1,1,1,,1,,1,1,1,,,1,1,1
739,13/04/2012,,1,1,1,,,,1,1,1,1,,,1,,,1,,,1,1,1,1,1,1
740,16/04/2012,1,,,1,1,,,,1,1,1,1,1,1,,,,,1,,1,1,1,1,1
741,18/04/2012,,1,1,,1,,1,,,1,1,1,1,1,,1,1,1,,,1,,,1,1
742,20/04/2012,1,,1,,1,1,1,1,1,,1,,1,1,1,,,,1,1,1,,1,,
743,23/04/2012,1,1,1,,,1,,,1,1,1,1,,1,1,,1,,,,1,1,1,1,
744,25/04/2012,1,,1,1,,1,1,,1,1,1,1,1,,1,1,,,1,,,,1,1,
745,27/04/2012,1,,1,,,1,1,1,1,,1,1,1,,,1,1,,,1,,1,,1,1
746,30/04/2012,,1,1,1,1,,,1,1,1,,,,,,1,1,1,1,1,1,,,1,1
747,02/05/2012,1,1,1,1,,1,1,,,1,,1,1,,1,1,1,,,1,,,1,1,
748,04/05/2012,1,,1,1,1,1,,1,1,1,,1,,,1,,1,1,,1,1,,1,,
749,07/05/2012,1,1,1,1,,1,1,1,,,1,,1,1,1,,,1,1,,,1,,1,
750,09/05/2012,,1,1,1,1,,1,,1,1,1,,1,,1,,,,1,1,1,,,1,1
751,11/05/2012,,,1,,1,1,,1,1,,,1,1,1,,1,1,,1,1,1,1,1,,
752,14/05/2012,1,,,1,1,1,1,1,,,,1,1,1,,1,,1,1,,1,,,1,1
753,16/05/2012,1,,1,1,1,1,1,1,,,1,,1,1,,,1,,,1,1,1,,,1
754,18/05/2012,1,,,1,1,,1,,,,,,1,,1,1,1,1,1,1,,1,1,1,1
755,21/05/2012,1,1,1,,1,,1,1,,1,1,1,1,1,,1,1,,,,,,,1,1
756,23/05/2012,,,1,,1,1,1,1,,1,,,1,1,1,1,1,,,1,,1,1,,1
757,25/05/2012,1,,1,1,,,,1,1,1,1,,1,1,1,,1,1,,1,1,,1,,
758,28/05/2012,1,1,,1,1,1,,,,,1,1,,,1,1,1,1,,1,,,1,1,1
759,30/05/2012,,1,,,1,,1,1,1,1,,,,,1,1,1,1,1,1,,,1,1,1
760,01/06/2012,1,1,1,,,,1,,1,1,1,1,1,,1,1,1,,,,,,1,1,1
761,04/06/2012,1,,,1,1,1,,,,1,1,1,1,1,1,1,,,1,1,,1,,1,
762,06/06/2012,1,1,1,,1,1,1,,1,1,1,1,1,1,,,1,,,,1,1,,,
763,08/06/2012,1,1,1,1,,1,1,,,,,,1,1,,1,1,1,,,1,1,,1,1
764,11/06/2012,1,,1,1,,1,,1,1,,1,1,,1,,1,1,,1,,,,1,1,1
765,13/06/2012,1,1,1,,,,1,1,1,1,,1,1,1,,,,1,,1,,,1,1,1
766,15/06/2012,1,,1,,1,1,1,,1,,,1,1,1,1,1,,1,,,1,,,1,1
767,18/06/2012,1,,1,1,1,,1,1,,1,1,1,,,1,,1,,1,,,1,1,1,
768,20/06/2012,1,,1,,1,1,,,,,1,1,1,1,1,,1,,1,1,,,1,1,1
769,22/06/2012,,,1,1,1,,1,,,1,1,,1,,1,1,1,,1,1,,1,1,,1
770,25/06/2012,1,,1,1,1,1,,,1,,1,1,,,,1,1,1,,,1,1,,1,1
771,27/06/2012,,1,,1,1,1,1,1,1,1,,,,1,,1,1,,,1,,1,1,,1
772,29/06/2012,,1,,1,,1,1,1,1,1,1,1,,,1,1,,,,1,,,1,1,1
773,02/07/2012,,1,,,1,1,1,1,,1,1,,1,,1,,1,1,,1,,1,,1,1
774,04/07/2012,1,,1,1,1,1,,1,1,,1,1,,1,1,,,1,1,,,1,,,1
775,06/07/2012,,1,1,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,,,,
776,09/07/2012,1,1,1,1,,,,,,1,1,1,1,1,,,,1,1,1,,1,1,1,
777,11/07/2012,,1,1,,,1,,,1,,1,1,1,1,1,1,,,,1,1,,1,1,1
778,13/07/2012,,1,,,1,1,1,,1,1,1,,1,,1,1,,,1,1,,1,,1,1
779,16/07/2012,,,,1,1,,,1,1,,1,1,1,1,,1,1,,1,1,1,1,1,,
780,18/07/2012,,,1,,,1,1,1,,1,,,1,,1,1,1,1,1,1,1,,,1,1
781,20/07/2012,1,1,,1,,,,1,1,1,1,,,1,1,1,1,,1,1,,1,,,1
782,23/07/2012,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
783,25/07/2012,1,1,,,1,1,1,1,,,1,,1,,1,1,,,1,1,1,1,,1,
784,27/07/2012,1,1,1,1,,,1,,,,1,1,1,,1,,,1,,1,1,1,1,,1
785,30/07/2012,1,1,,1,,1,1,,,1,1,1,1,,1,1,1,,1,,1,,1,,
786,01/08/2012,,1,,1,1,1,,1,,1,1,1,1,,1,,1,,,,1,,1,1,1
787,03/08/2012,1,,,1,1,,,1,1,1,1,1,1,1,,1,1,,1,1,,,1,,
788,06/08/2012,1,,1,1,,,,1,1,1,1,1,,,,1,,,1,,1,1,1,1,1
789,08/08/2012,,1,1,1,,,,1,,1,1,1,,1,1,1,,1,1,,1,1,,1,
790,10/08/2012,,,1,,,1,1,1,,1,,1,1,,,1,,1,1,1,,1,1,1,1
791,13/08/2012,1,1,1,,1,1,1,1,,1,1,,1,1,,,,,,,1,1,1,,1
792,15/08/2012,1,1,1,,,1,,1,1,1,,1,,1,,,,1,1,1,1,,1,,1
793,17/08/2012,,1,,1,1,,1,,1,,1,1,,1,,1,1,1,,1,1,,1,,1
794,20/08/2012,1,1,1,1,1,1,,1,1,,1,,,1,1,,,,,1,,,1,1,1
795,22/08/2012,1,1,1,1,,1,1,1,1,1,,1,,1,,1,,,,,1,1,,1,
796,24/08/2012,,1,1,1,,1,1,1,,1,1,,,1,,1,1,1,,1,1,,,1,
797,27/08/2012,,1,1,,1,1,1,1,,,1,,,,1,,1,1,1,1,1,,,1,1
798,29/08/2012,1,,1,,1,1,,1,,1,1,,1,,1,1,,1,1,,,1,1,1,
799,31/08/2012,,,1,1,,1,,1,,,1,,1,1,1,1,,,1,,1,1,1,1,1
800,06/09/2012,,,1,1,,1,1,1,1,1,1,1,1,,,1,,,,1,1,1,,1,
801,10/09/2012,1,,1,1,1,1,1,,,1,,1,,,1,,1,1,1,,1,,1,,1
802,12/09/2012,1,,1,1,1,,,1,1,1,,1,1,1,,,,1,,1,1,1,,,1
803,14/09/2012,1,,,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,,1,1,1
804,17/09/2012,1,,1,1,1,1,1,1,,,,,1,,1,,1,1,,1,1,,1,1,
805,19/09/2012,1,1,,1,,1,1,,1,,1,,1,1,,1,1,,,1,,1,,1,1
806,21/09/2012,1,1,1,,1,1,1,1,,1,,,,1,1,1,,,1,1,,,,1,1
807,24/09/2012,,1,1,1,1,,1,1,,1,1,,1,,,,,1,1,,1,1,,1,1
808,26/09/2012,,,,1,,1,1,,,1,1,1,,1,,1,1,1,,1,1,1,,1,1
809,28/09/2012,1,1,,1,1,,1,,1,,,,1,,,1,,1,1,,1,1,1,1,1
810,01/10/2012,1,,1,,,1,1,,1,,1,1,,,1,1,1,1,,,1,1,1,1,
811,03/10/2012,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,,1,1,,1,,,
812,05/10/2012,1,,1,,1,,1,1,,,1,,,1,,,1,1,1,1,1,,1,1,1
813,08/10/2012,1,,1,1,1,1,1,1,,1,,1,,,,1,,,1,,1,,1,1,1
814,10/10/2012,,,1,1,,,,1,,1,1,1,1,1,,,1,,1,1,1,1,1,1,
815,13/10/2012,,,,,,1,1,1,,1,1,,,1,1,,1,1,,1,1,1,1,1,1
816,15/10/2012,,1,1,,1,,,1,1,1,1,1,1,,1,1,1,,1,,,,1,,1
817,17/10/2012,1,1,1,1,1,,,1,,1,1,1,,,,,1,1,,1,,,1,1,1
818,19/10/2012,,,,1,1,1,,1,,1,1,,1,1,,1,,,1,1,,1,1,1,1
819,22/10/2012,,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,,,
820,24/10/2012,1,1,1,,1,1,1,1,1,1,,,1,,1,1,,,,,,1,1,1,
821,26/10/2012,,,1,1,1,,1,,1,1,1,1,,1,,1,1,,,,1,,1,1,1
822,29/10/2012,,1,1,,1,,,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,
823,31/10/2012,1,1,,1,1,,,,1,,1,1,1,1,,1,,,1,1,,1,,1,1
824,03/11/2012,,1,1,1,,,1,,,,1,1,1,1,1,,,,1,1,1,1,,1,1
825,05/11/2012,1,,,,,1,1,1,1,1,1,,1,1,1,,1,,1,,,1,1,,1
826,07/11/2012,,,1,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,
827,09/11/2012,1,1,,1,1,,1,,1,1,,1,1,1,,1,1,,,,1,1,,1,
828,12/11/2012,1,,,,,1,1,1,1,,,1,,1,1,,1,,1,1,,1,1,1,1
829,14/11/2012,,1,,,1,,1,1,1,,1,,1,1,,1,1,1,,,,1,1,1,1
830,16/11/2012,1,,,1,,1,,,1,1,1,1,1,1,,1,1,,1,,1,,1,1,
831,19/11/2012,1,1,1,,1,,,,1,1,1,1,,1,,1,1,1,,1,1,1,,,
832,21/11/2012,,1,,,1,1,1,1,,1,1,1,,,1,1,,,1,,,1,1,1,1
833,23/11/2012,,1,,,1,1,1,,,1,1,1,1,,,1,1,1,1,1,,1,,,1
834,26/11/2012,,1,,1,,,1,1,1,1,1,,,1,,1,,1,1,1,1,1,1,,
835,28/11/2012,1,1,,1,,1,,1,,,,1,,1,1,1,1,1,1,,1,,,1,1
836,30/11/2012,,1,,1,,,1,1,1,1,,1,,1,1,1,,1,,1,1,1,,,1
837,03/12/2012,1,,1,,,,1,1,,1,1,1,1,1,1,1,,1,,1,,1,,1,
838,05/12/2012,,1,,1,1,,1,,1,1,1,,,1,1,1,,1,,1,1,,1,1,
839,07/12/2012,,1,1,1,,1,1,1,,,,,1,1,,1,1,,1,,1,1,,1,1
840,10/12/2012,,1,,1,,1,,,1,,1,1,1,,,,1,1,1,1,1,1,1,,1
841,12/12/2012,1,,1,,1,1,,1,,1,,1,1,1,1,1,1,,,1,1,,,1,
842,14/12/2012,,,1,1,1,,1,,,1,1,,1,1,1,,,1,1,1,1,1,,1,
843,17/12/2012,,,1,1,,,1,1,,,1,1,1,,1,1,1,,1,1,1,1,,1,
844,19/12/2012,1,,1,,1,,1,1,1,1,,1,,,1,1,1,,1,,,1,,1,1
845,21/12/2012,,1,,1,,1,1,,,,1,1,,1,,1,,1,1,,1,1,1,1,1
846,24/12/2012,1,,,1,,1,,,1,1,1,,1,1,1,,,,1,1,1,,1,1,1
