SOR,DTA,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
121,16/01/2006,1,1,,1,1,,1,,1,1,1,1,,,,1,1,1,,,,,1,1,1
122,23/01/2006,1,1,,1,1,,,1,1,1,,,1,,1,,1,1,,1,,1,1,,1
123,30/01/2006,,,,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,1,1,1,
124,06/02/2006,,1,1,1,,1,1,,1,,,,,1,1,1,,1,1,1,1,,,1,1
125,13/02/2006,,1,1,1,,1,1,,1,1,1,1,,,1,1,,,,,1,1,,1,1
126,20/02/2006,1,1,1,1,,1,1,1,,,,,1,1,,1,,1,,,1,1,,1,1
127,01/03/2006,1,1,1,1,1,,1,,,1,1,1,1,,,,,1,1,,,1,1,,1
128,06/03/2006,,1,1,1,,1,,,,,1,,1,1,1,1,1,,1,1,1,,1,,1
129,13/03/2006,,1,,,1,1,1,,1,,1,,1,,1,,,1,1,1,1,1,1,,1
130,20/03/2006,,1,1,1,1,1,,,1,1,,1,1,,1,,1,,1,,,,1,1,1
131,27/03/2006,,1,,1,1,1,1,1,,,1,1,1,,1,,,,1,1,,1,1,,1
132,03/04/2006,1,,1,1,1,,1,,1,1,1,,,1,1,1,1,,,,,1,1,,1
133,10/04/2006,1,,1,1,1,,,1,1,,1,,1,,1,,,1,1,1,1,1,1,,
134,17/04/2006,1,,1,,1,,1,1,,1,1,1,1,1,,1,1,,1,,,1,,,1
135,24/04/2006,1,1,,,1,,1,1,,1,,,1,1,1,,,1,1,1,1,1,,,1
136,02/05/2006,1,1,1,,1,1,,,1,,,1,1,1,1,,1,,,,1,1,1,1,
137,08/05/2006,,1,,,,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,1
138,15/05/2006,,1,1,1,1,,1,1,,,1,,1,,1,1,1,,,,1,1,,1,1
139,22/05/2006,1,1,,,,,1,,1,,,1,,1,1,1,1,1,1,,1,1,1,1,
140,29/05/2006,1,1,1,,,1,,,1,1,,1,1,,1,,,1,1,1,,1,,1,1
141,05/06/2006,1,,1,,,,1,1,1,1,,1,1,,,1,1,1,1,1,,,,1,1
142,12/06/2006,1,1,,1,1,1,1,,1,,,,,,1,1,1,1,1,,,1,1,1,
143,19/06/2006,1,1,,,,,,1,1,,1,,1,,1,1,1,,1,,1,1,1,1,1
144,26/06/2006,1,1,,1,,,1,,1,,1,1,,1,,,1,,1,1,1,1,,1,1
145,03/07/2006,1,1,1,,,,,,1,1,1,,1,1,1,,1,1,,1,,1,,1,1
146,10/07/2006,1,1,,,1,,,1,,1,1,1,1,1,,1,1,,,,,1,1,1,1
147,17/07/2006,1,1,,1,1,1,,,,1,1,1,1,,,1,,,1,,1,1,1,,1
148,24/07/2006,1,1,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,1,,1,1
149,01/08/2006,,1,,,1,,1,,1,1,,,1,,1,1,1,1,1,1,,,1,1,1
150,07/08/2006,1,,1,,1,1,1,1,1,,1,,,1,,,,,1,,1,1,1,1,1
151,14/08/2006,,,1,1,1,,1,,1,1,1,1,1,1,,1,,1,,1,,,1,1,
152,21/08/2006,,,1,1,1,1,1,1,,,,,1,,1,,1,,1,1,,1,1,1,1
153,28/08/2006,1,1,,1,1,,,1,,,1,1,1,,,,1,1,,1,1,,1,1,1
154,04/09/2006,1,1,1,,1,1,,,1,1,1,,1,1,1,1,,1,,,,,1,1,
155,11/09/2006,,1,,1,1,,,1,,1,1,,,1,1,1,,1,1,1,1,1,,1,
156,18/09/2006,1,,1,1,,,,1,1,1,1,1,1,1,1,,,,1,1,,1,1,,
157,25/09/2006,1,1,,1,,1,1,,1,1,,1,,1,,1,,1,1,,1,,,1,1
158,02/10/2006,,1,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,,
159,09/10/2006,1,1,1,1,1,1,,1,,1,1,,,1,1,,1,,,1,,,,1,1
160,16/10/2006,1,,1,1,,,,,1,1,1,1,,1,1,1,1,,1,1,1,,,1,
161,19/10/2006,1,,,,1,,,1,,,1,,1,,1,1,1,1,,1,1,1,1,1,1
162,23/10/2006,1,1,1,1,1,1,,1,,,1,1,1,,,1,,1,,1,,,1,1,
163,26/10/2006,1,1,1,,1,1,1,,1,,,,1,1,1,,,,,1,1,,1,1,1
